Imagen;Porcentaje_Azul_lago;Porcentaje_Verde_lentejas;Porcentaje_Rojo_resto
fragmento_0_0.png;58.23;5.04;36.74
fragmento_0_1.png;49.17;16.12;34.95
fragmento_0_2.png;55.21;20.99;44.72
fragmento_0_3.png;25.35;1.07;74.61
fragmento_0_4.png;44.03;9.25;55.87
fragmento_1_0.png;40.04;12.91;59.93
fragmento_1_1.png;27;12.87;73
fragmento_1_2.png;3.6;2.51;96.4
fragmento_1_3.png;21.65;11.25;78.34
fragmento_1_4.png;35.61;11.48;64.34
fragmento_2_0.png;49.15;13.9;37.07
fragmento_2_1.png;9.39;8.15;90.61
fragmento_2_2.png;1.38;1.36;98.62
fragmento_2_3.png;18.14;9.8;72.1
fragmento_2_4.png;27.22;2.21;70.56
fragmento_3_0.png;55.07;20.86;44.86
fragmento_3_1.png;100;0;0
fragmento_3_2.png;100;0;0
fragmento_3_3.png;33.12;0;66.88
fragmento_3_4.png;75.3;0.01;24.69
fragmento_4_0.png;41.44;6.13;52.45
fragmento_4_1.png;14.01;0;85.99
fragmento_4_2.png;25.93;0;74.07
fragmento_4_3.png;47.21;0;52.79
fragmento_4_4.png;52.06;14.99;40.59
