Imagen;Porcentaje_Azul_lago;Porcentaje_Verde_lentejas;Porcentaje_Rojo_resto
fragmento_0_0.png;40.5;18.83;40.67
fragmento_0_1.png;60.24;41.51;5.05
fragmento_0_2.png;82.14;41.31;17.75
fragmento_0_3.png;60.38;3.25;39.59
fragmento_0_4.png;52.02;14.41;47.9
fragmento_1_0.png;21.07;9.75;69.78
fragmento_1_1.png;28.97;23.67;70.95
fragmento_1_2.png;7.45;5.63;92.52
fragmento_1_3.png;23.58;20.08;76.34
fragmento_1_4.png;43.15;37.64;56.68
fragmento_2_0.png;46.23;20.17;33.62
fragmento_2_1.png;3.62;3.64;96.36
fragmento_2_2.png;0.62;0.64;99.36
fragmento_2_3.png;30.97;17.42;68.85
fragmento_2_4.png;74.72;48.94;25.16
fragmento_3_0.png;53.35;19.32;46.49
fragmento_3_1.png;100;0;0
fragmento_3_2.png;100;0;0
fragmento_3_3.png;48.83;18.61;51.16
fragmento_3_4.png;51.9;54.72;26.79
fragmento_4_0.png;44.75;3.57;55.11
fragmento_4_1.png;13.45;0.3;86.25
fragmento_4_2.png;24.09;1.27;75.73
fragmento_4_3.png;63.83;5.71;36.17
fragmento_4_4.png;36.8;47.62;15.6
